# 3193 unresolved booktitles sorted by row frequency
# 309624 unresolved conference rows
# rows	booktitle

73	EuroNGI Workshop
73	FGIT-GDC
73	ISSADS
73	IWLS
73	IWVF
73	XSEDE
72	ESSDERC
72	I3E (2)
72	ICDF2C
72	LPE
72	MMB/DFT
72	Mobile Agents
71	CSMR-WCRE
71	EHCI
71	FPS
71	ICMMI
71	MEMICS
71	Rule Languages for Interoperability
71	SWS
71	TPCTC
71	VLBV
71	WNAA
70	CogART
70	COMPENG
70	CSREA EE
70	Enterprise Information Systems and Web Technologies
70	EST
70	FGIT-UNESST
70	ICCASA
70	INTRUST
70	ISBAST
70	IUCS
70	JCDKB
70	JIDBD
70	Kyoto International Conference on Digital Libraries
70	LARC
70	LDAV
70	MFDBS
70	PDSE
70	TAGT
70	WFLP
69	A2CWiC
69	ACITY (3)
69	ADMI
69	DIAL
69	DSL
69	European Across Grids Conference
69	GameSec
69	Informatics and Psychology Workshop
69	ITCH
69	Metainformatics
69	RobVis
69	SENSORNETS
69	TMRA
69	VIS
68	BigData Congress
68	BioADIT
68	CCIW
68	CIDU
68	EUSAI
68	IFIP CAI
68	STIDS
68	STM
68	ULPAA
68	VRML
68	Woman, Work and Computerization
67	C&T
67	DRCN
67	EWHCI
67	IADT
67	ICCMS
67	ICEIS (3-2)
67	ICETC
67	KMGov
67	Open Distributed Processing
67	Probabilistic Graphical Models
67	SGDA
67	STEP
67	Virtual Worlds
67	WAPCV
66	CALISCE
66	COST 237 Workshop
66	DMSN
66	EWRL
66	ExaCt
66	ICCSW
66	ITAMS
66	MobiSec
66	NCCA
66	Pattern Recognition
66	QL
66	UCMedia
66	WWCA
65	Computer Performance and Reliability
65	CSE (1)
65	DICTAP (1)
65	GAMENETS
65	GTTSE
65	SouthCHI
65	TLDI
65	VRCIA
64	ATACCS
64	CAL
64	CANPC
64	CCL
64	CHItaly
64	DEIS
64	Digital Photography
64	FGIT-FGCN (1)
64	Globe
64	IAIT
64	ICLS (2)
64	IPTC
64	IWEC
64	IWEI
64	MCO
64	NET-COOP
64	Numerical Methods and Application
64	RIDE-IMS
64	Summer School on Neural Networks
63	AsiaSim (1)
63	BCI (Local)
63	CNSA
63	DBKDA
63	ECP
63	ESAS
63	FICTA
63	GAMEON
63	GeoS
63	HPEC
63	ICEIS (3-1)
63	ICETE (3)
63	IPCAI
63	ITBAM
63	IWFM
63	LSMS (2)
63	Modelling the Innovation
63	PIT
63	PPCP
63	SPC
63	SYBEN
62	AWCC
62	Business Process Re-Engineering
62	DICTAP (2)
